lambda_1,p_naive,p_stable
43.75,,1.6848365412827866e-19
44.0,,1.31198626873828e-19
44.25,,1.0216483009593787e-19
44.5,,7.955622090557226e-20
44.75,,6.195087768126327e-20
45.0,,4.824156220318317e-20
45.25,,3.756607611177471e-20
45.5,,2.925303072321022e-20
45.75,,2.277961887286512e-20
46.0,,1.773873248149424e-20
46.25,,1.381335745037467e-20
46.5,,1.0756635278592447e-20
46.75,,8.376337261017934e-21
47.0,,6.522774694507159e-21
47.25,,5.079384655187448e-21
47.5,,3.9553992089403115e-21
47.75,,3.0801369675972113e-21
48.0,,2.398557949433886e-21
48.25,,1.8678021636743973e-21
48.5,,1.4544942135296787e-21
48.75,,1.132644393117635e-21
49.0,,8.820142711938242e-22
49.25,,6.868439690196983e-22
49.5,,5.348610885276266e-22
49.75,,4.1650896117644715e-22
50.0,,3.2434568178023016e-22
50.25,,2.52576132746131e-22
50.5,,1.9668756821224662e-22
50.75,,1.5316584060212798e-22
51.0,,1.1927442376554733e-22
51.25,,9.28823361517053e-23
51.5,,7.233014274502762e-23
51.75,,5.632560921181349e-23
52.0,,4.386244647118394e-23
52.25,,3.415703599406933e-23
52.5,,2.6599156880803337e-23
52.75,,2.0713616281224256e-23
53.0,,1.6130370380867863e-23
53.25,,1.2561257102524679e-23
53.5,,9.781877443551146e-24
53.75,,7.617486132928139e-24
54.0,,5.93200440912534e-24
54.25,,4.619464045727773e-24
54.5,,3.597344632446831e-24
54.75,,2.801385169026237e-24
55.0,,2.18154373502022e-24
55.25,,1.698851189343434e-24
55.5,,1.3229610694901264e-24
55.75,,1.030241636567266e-24
56.0,,8.022901014620511e-25
56.25,,6.247756132920566e-25
56.5,,4.865382629456888e-25
56.75,,3.7888745192351396e-25
57.0,,2.950555120296008e-25
57.25,,2.297722229778057e-25
57.5,,1.7893347646757942e-25
57.75,,1.393432547230773e-25
58.0,,1.0851270108727527e-25
58.25,,8.450364985964863e-26
58.5,,6.580677787077511e-26
58.75,,5.124671705693325e-26
59.0,,3.990816240423715e-26
59.25,,3.107832965352865e-26
59.5,,2.4202145093704936e-26
59.75,,1.884735025286394e-26
60.0,,1.4677327654019282e-26
