lambda_2,eps,p_naive,p_stable
3.5,1e-10,0.9999999996697994,0.9999999996697975
3.5,4.6415888336127916e-11,0.9999999998467313,0.999999999846735
3.5,2.1544346900318868e-11,0.9999999999288668,0.9999999999288596
3.5,1e-11,0.9999999999669709,0.9999999999669784
3.5,4.641588833612792e-12,0.9999999999846622,0.9999999999846727
3.5,2.1544346900318868e-12,0.9999999999928854,0.9999999999928857
3.5,1e-12,0.9999999999966948,0.9999999999966969
3.5,4.641588833612791e-13,0.9999999999984598,0.999999999998467
3.5,2.1544346900318868e-13,0.9999999999992821,0.9999999999992877
3.5,1e-13,0.9999999999996655,0.9999999999996705
3.5,4.6415888336127915e-14,0.9999999999998322,0.9999999999998463
3.5,2.1544346900318866e-14,0.9999999999999319,0.9999999999999281
3.5,1e-14,0.9999999999999681,0.9999999999999662
3.5,4.641588833612791e-15,0.9999999999999857,0.9999999999999849
3.5,2.1544346900318867e-15,0.9999999999999929,0.999999999999992
3.5,1e-15,0.9999999999999967,0.9999999999999973
