gamma,lambda_1,lambda_2,spacing,det_R,trace_R,sigma_estimate,distance_t0t1,distance_t1t2,p_spacing_naive,p_spacing_stable,p_tspacing_naive,p_tspacing_stable,valid
0.0,1.9095301040581503,1.8574417066228228,0.05208839743532745,-0.2496401487623261,-0.9162083103160851,0.8383538237745608,0.946989892158697,0.5213345580543568,0.9198035287757899,0.9198035287757894,0.9273757094853624,0.9273757094853614,True
0.0,2.3242062406399864,1.3462539236004691,0.9779523170395172,-0.17639740094460926,0.7955548806142663,0.7872261171404179,0.9975774338309784,0.48723463732265343,0.30357605986810715,0.3035760598681073,0.29333107718144064,0.29333107718144047,True
0.0,2.19475689986586,1.5274443926236851,0.6673125072421748,0.4828330372283337,-1.5137517233850606,0.8102769590431181,0.4151000217287866,0.5709245514114208,0.32638592858229976,0.3263859285823,0.34737581098690795,0.3473758109869086,True
0.0,2.2449676234280993,2.049182983509512,0.1957846399185872,-0.3477838756427113,-2.1745816874130597,1.0506590368626127,0.7866602642570437,0.6732289214354275,0.6827605214330923,0.6827605214330924,0.7932424873490449,0.7932424873490449,True
0.0,2.1276054843232695,1.191204700059889,0.9364007842633804,-0.6227196712392687,0.1444919524941346,0.5532916695613219,0.5488305683529163,0.6106971450212388,0.35505795423297365,0.3550579542329736,0.14357205426054304,0.14357205426054281,True
0.0,2.1302052794181767,1.3367246812541642,0.7934805981640125,2.8574437403197144,-3.4657834907446814,0.8557400036295623,0.24705142351302395,0.719820496085487,0.26004952062657744,0.2600495206265776,0.28016543798553595,0.28016543798553567,True
0.0,1.5522545169969795,1.0783402995776457,0.4739142174193338,-0.5092321351886179,-0.9995803153998575,0.6362842332048048,0.1914137559077838,0.6262836833214347,0.6287784754191702,0.6287784754191702,0.42271611707354506,0.4227161170735449,True
0.0,1.7674234683477188,1.030075572146502,0.7373478962012168,-2.0021446995224474,-0.75550500459805,0.739265804028805,0.8192005089239909,0.01702505144123273,0.6452295402494111,0.6452295402494113,0.41989091841143356,0.41989091841143383,False
0.0,1.995562677615128,1.0405038785430856,0.9550587990720425,-1.2219584364121705,-0.42471314013712214,0.6752245213583665,0.34066538683438663,0.6863675883574941,0.41267367298976004,0.4126736729897602,0.22660024318696478,0.22660024318696448,True
0.0,3.551843722097942,2.549996626608893,1.0018470954890493,0.21952318752729005,1.0426015417634247,1.1369613129663205,0.5009797472338591,0.42211319386032425,0.06890169763534838,0.0689016976353465,0.3874446459527301,0.3874446459527301,True
